cuda:0
Epoch 1/30 | loss=1.0829 | ce_loss=1.0829 | kd_loss=7.7677 | margin_loss=12.7799
Epoch 2/30 | loss=0.4264 | ce_loss=0.4264 | kd_loss=2.8512 | margin_loss=6.7987
Epoch 3/30 | loss=0.3492 | ce_loss=0.3492 | kd_loss=2.2638 | margin_loss=5.9776
Epoch 4/30 | loss=0.3115 | ce_loss=0.3115 | kd_loss=2.0228 | margin_loss=5.8500
Epoch 5/30 | loss=0.2869 | ce_loss=0.2869 | kd_loss=1.8796 | margin_loss=5.5724
Epoch 6/30 | loss=0.2698 | ce_loss=0.2698 | kd_loss=1.8083 | margin_loss=5.4764
Epoch 7/30 | loss=0.2573 | ce_loss=0.2573 | kd_loss=1.7359 | margin_loss=5.3824
Epoch 8/30 | loss=0.2459 | ce_loss=0.2459 | kd_loss=1.6954 | margin_loss=5.2261
Epoch 9/30 | loss=0.2372 | ce_loss=0.2372 | kd_loss=1.6444 | margin_loss=5.1449
Epoch 10/30 | loss=0.2320 | ce_loss=0.2320 | kd_loss=1.6177 | margin_loss=5.0289
Epoch 11/30 | loss=0.2252 | ce_loss=0.2252 | kd_loss=1.6049 | margin_loss=4.9599
Epoch 12/30 | loss=0.2191 | ce_loss=0.2191 | kd_loss=1.5838 | margin_loss=4.9606
Epoch 13/30 | loss=0.2165 | ce_loss=0.2165 | kd_loss=1.5569 | margin_loss=4.7467
Epoch 14/30 | loss=0.2126 | ce_loss=0.2126 | kd_loss=1.5562 | margin_loss=4.7518
Epoch 15/30 | loss=0.2079 | ce_loss=0.2079 | kd_loss=1.5502 | margin_loss=4.7570
Epoch 16/30 | loss=0.2037 | ce_loss=0.2037 | kd_loss=1.5430 | margin_loss=4.6005
Epoch 17/30 | loss=0.2015 | ce_loss=0.2015 | kd_loss=1.5394 | margin_loss=4.5989
Epoch 18/30 | loss=0.1990 | ce_loss=0.1990 | kd_loss=1.5301 | margin_loss=4.5533
Epoch 19/30 | loss=0.1963 | ce_loss=0.1963 | kd_loss=1.5318 | margin_loss=4.5113
Epoch 20/30 | loss=0.1944 | ce_loss=0.1944 | kd_loss=1.5404 | margin_loss=4.5396
Epoch 21/30 | loss=0.1925 | ce_loss=0.1925 | kd_loss=1.5284 | margin_loss=4.5053
Epoch 22/30 | loss=0.1902 | ce_loss=0.1902 | kd_loss=1.5504 | margin_loss=4.5057
Epoch 23/30 | loss=0.1888 | ce_loss=0.1888 | kd_loss=1.5486 | margin_loss=4.3839
Epoch 24/30 | loss=0.1856 | ce_loss=0.1856 | kd_loss=1.5677 | margin_loss=4.4995
Epoch 25/30 | loss=0.1844 | ce_loss=0.1844 | kd_loss=1.5538 | margin_loss=4.4165
Epoch 26/30 | loss=0.1822 | ce_loss=0.1822 | kd_loss=1.5614 | margin_loss=4.4440
Epoch 27/30 | loss=0.1823 | ce_loss=0.1823 | kd_loss=1.5570 | margin_loss=4.4458
Epoch 28/30 | loss=0.1795 | ce_loss=0.1795 | kd_loss=1.5701 | margin_loss=4.4681
Epoch 29/30 | loss=0.1780 | ce_loss=0.1780 | kd_loss=1.5842 | margin_loss=4.4817
Epoch 30/30 | loss=0.1770 | ce_loss=0.1770 | kd_loss=1.5965 | margin_loss=4.4683
Student Accuracy: 0.9396
