cuda:0
Epoch 1/30 | loss=3.9031 | ce_loss=1.1563 | kd_loss=6.6499 | margin_loss=10.5925
Epoch 2/30 | loss=1.3535 | ce_loss=0.5154 | kd_loss=2.1917 | margin_loss=3.9691
Epoch 3/30 | loss=0.6627 | ce_loss=0.3552 | kd_loss=0.9702 | margin_loss=2.7717
Epoch 4/30 | loss=0.4686 | ce_loss=0.3058 | kd_loss=0.6315 | margin_loss=2.4338
Epoch 5/30 | loss=0.3804 | ce_loss=0.2810 | kd_loss=0.4797 | margin_loss=2.1693
Epoch 6/30 | loss=0.3362 | ce_loss=0.2662 | kd_loss=0.4063 | margin_loss=1.9446
Epoch 7/30 | loss=0.3090 | ce_loss=0.2568 | kd_loss=0.3612 | margin_loss=1.8296
Epoch 8/30 | loss=0.2846 | ce_loss=0.2469 | kd_loss=0.3222 | margin_loss=1.7058
Epoch 9/30 | loss=0.2628 | ce_loss=0.2384 | kd_loss=0.2872 | margin_loss=1.5998
Epoch 10/30 | loss=0.2470 | ce_loss=0.2326 | kd_loss=0.2614 | margin_loss=1.5254
Epoch 11/30 | loss=0.2339 | ce_loss=0.2276 | kd_loss=0.2403 | margin_loss=1.4694
Epoch 12/30 | loss=0.2233 | ce_loss=0.2242 | kd_loss=0.2223 | margin_loss=1.4330
Epoch 13/30 | loss=0.2145 | ce_loss=0.2209 | kd_loss=0.2082 | margin_loss=1.3939
Epoch 14/30 | loss=0.2069 | ce_loss=0.2179 | kd_loss=0.1958 | margin_loss=1.3610
Epoch 15/30 | loss=0.2007 | ce_loss=0.2157 | kd_loss=0.1858 | margin_loss=1.3436
Epoch 16/30 | loss=0.1961 | ce_loss=0.2137 | kd_loss=0.1784 | margin_loss=1.3303
Epoch 17/30 | loss=0.1911 | ce_loss=0.2118 | kd_loss=0.1705 | margin_loss=1.3125
Epoch 18/30 | loss=0.1881 | ce_loss=0.2111 | kd_loss=0.1652 | margin_loss=1.2997
Epoch 19/30 | loss=0.1848 | ce_loss=0.2100 | kd_loss=0.1595 | margin_loss=1.2784
Epoch 20/30 | loss=0.1822 | ce_loss=0.2093 | kd_loss=0.1551 | margin_loss=1.2622
Epoch 21/30 | loss=0.1798 | ce_loss=0.2087 | kd_loss=0.1508 | margin_loss=1.2441
Epoch 22/30 | loss=0.1784 | ce_loss=0.2086 | kd_loss=0.1481 | margin_loss=1.2214
Epoch 23/30 | loss=0.1761 | ce_loss=0.2079 | kd_loss=0.1443 | margin_loss=1.1919
Epoch 24/30 | loss=0.1745 | ce_loss=0.2074 | kd_loss=0.1416 | margin_loss=1.1609
Epoch 25/30 | loss=0.1731 | ce_loss=0.2076 | kd_loss=0.1385 | margin_loss=1.1348
Epoch 26/30 | loss=0.1712 | ce_loss=0.2067 | kd_loss=0.1357 | margin_loss=1.1008
Epoch 27/30 | loss=0.1692 | ce_loss=0.2059 | kd_loss=0.1324 | margin_loss=1.0690
Epoch 28/30 | loss=0.1682 | ce_loss=0.2057 | kd_loss=0.1307 | margin_loss=1.0437
Epoch 29/30 | loss=0.1665 | ce_loss=0.2057 | kd_loss=0.1272 | margin_loss=1.0128
Epoch 30/30 | loss=0.1654 | ce_loss=0.2058 | kd_loss=0.1250 | margin_loss=0.9858
Student Accuracy: 0.933
