cuda:0
Epoch 1/30 | loss=5.0046 | ce_loss=3.0956 | kd_loss=14.3585 | margin_loss=5.8227
Epoch 2/30 | loss=2.2673 | ce_loss=1.9702 | kd_loss=12.7894 | margin_loss=2.3946
Epoch 3/30 | loss=2.0574 | ce_loss=1.8056 | kd_loss=12.0453 | margin_loss=2.1653
Epoch 4/30 | loss=1.8059 | ce_loss=1.5801 | kd_loss=10.7444 | margin_loss=1.9027
Epoch 5/30 | loss=1.5864 | ce_loss=1.4466 | kd_loss=9.9371 | margin_loss=1.6463
Epoch 6/30 | loss=1.4629 | ce_loss=1.3531 | kd_loss=9.2983 | margin_loss=1.5100
Epoch 7/30 | loss=1.3920 | ce_loss=1.3018 | kd_loss=8.9533 | margin_loss=1.4307
Epoch 8/30 | loss=1.3115 | ce_loss=1.2602 | kd_loss=8.6816 | margin_loss=1.3334
Epoch 9/30 | loss=1.2524 | ce_loss=1.2175 | kd_loss=8.4211 | margin_loss=1.2674
Epoch 10/30 | loss=1.2070 | ce_loss=1.1771 | kd_loss=8.1900 | margin_loss=1.2198
Epoch 11/30 | loss=1.1657 | ce_loss=1.1237 | kd_loss=7.9319 | margin_loss=1.1837
Epoch 12/30 | loss=1.1279 | ce_loss=1.0573 | kd_loss=7.6147 | margin_loss=1.1581
Epoch 13/30 | loss=1.0883 | ce_loss=0.9798 | kd_loss=7.1993 | margin_loss=1.1348
Epoch 14/30 | loss=1.0491 | ce_loss=0.8971 | kd_loss=6.7001 | margin_loss=1.1143
Epoch 15/30 | loss=1.0119 | ce_loss=0.8230 | kd_loss=6.1852 | margin_loss=1.0928
Epoch 16/30 | loss=0.9774 | ce_loss=0.7570 | kd_loss=5.6833 | margin_loss=1.0718
Epoch 17/30 | loss=0.9487 | ce_loss=0.7012 | kd_loss=5.2697 | margin_loss=1.0547
Epoch 18/30 | loss=0.9249 | ce_loss=0.6629 | kd_loss=4.9555 | margin_loss=1.0372
Epoch 19/30 | loss=0.9071 | ce_loss=0.6313 | kd_loss=4.6955 | margin_loss=1.0252
Epoch 20/30 | loss=0.8876 | ce_loss=0.6083 | kd_loss=4.4958 | margin_loss=1.0073
Epoch 21/30 | loss=0.8737 | ce_loss=0.5870 | kd_loss=4.3181 | margin_loss=0.9966
Epoch 22/30 | loss=0.8594 | ce_loss=0.5704 | kd_loss=4.1531 | margin_loss=0.9832
Epoch 23/30 | loss=0.8441 | ce_loss=0.5546 | kd_loss=4.0070 | margin_loss=0.9682
Epoch 24/30 | loss=0.8322 | ce_loss=0.5407 | kd_loss=3.8725 | margin_loss=0.9571
Epoch 25/30 | loss=0.8211 | ce_loss=0.5275 | kd_loss=3.7582 | margin_loss=0.9469
Epoch 26/30 | loss=0.8083 | ce_loss=0.5171 | kd_loss=3.6544 | margin_loss=0.9331
Epoch 27/30 | loss=0.7998 | ce_loss=0.5065 | kd_loss=3.5423 | margin_loss=0.9255
Epoch 28/30 | loss=0.7912 | ce_loss=0.4987 | kd_loss=3.4548 | margin_loss=0.9166
Epoch 29/30 | loss=0.7816 | ce_loss=0.4879 | kd_loss=3.3577 | margin_loss=0.9074
Epoch 30/30 | loss=0.7722 | ce_loss=0.4794 | kd_loss=3.2629 | margin_loss=0.8978
Student Accuracy: 0.8561
