cuda:0
Epoch 1/30 | loss=7.2778 | ce_loss=1.8250 | kd_loss=8.1944 | margin_loss=6.3612
Epoch 2/30 | loss=2.3553 | ce_loss=0.7632 | kd_loss=2.9319 | margin_loss=1.7787
Epoch 3/30 | loss=1.6272 | ce_loss=0.5350 | kd_loss=1.7500 | margin_loss=1.5045
Epoch 4/30 | loss=1.3188 | ce_loss=0.4383 | kd_loss=1.2775 | margin_loss=1.3601
Epoch 5/30 | loss=1.1404 | ce_loss=0.3841 | kd_loss=1.0104 | margin_loss=1.2704
Epoch 6/30 | loss=1.0055 | ce_loss=0.3478 | kd_loss=0.8211 | margin_loss=1.1898
Epoch 7/30 | loss=0.8920 | ce_loss=0.3202 | kd_loss=0.6751 | margin_loss=1.1090
Epoch 8/30 | loss=0.8044 | ce_loss=0.3006 | kd_loss=0.5699 | margin_loss=1.0388
Epoch 9/30 | loss=0.7342 | ce_loss=0.2868 | kd_loss=0.4949 | margin_loss=0.9735
Epoch 10/30 | loss=0.6808 | ce_loss=0.2762 | kd_loss=0.4411 | margin_loss=0.9204
Epoch 11/30 | loss=0.6389 | ce_loss=0.2680 | kd_loss=0.4011 | margin_loss=0.8768
Epoch 12/30 | loss=0.5990 | ce_loss=0.2615 | kd_loss=0.3654 | margin_loss=0.8326
Epoch 13/30 | loss=0.5651 | ce_loss=0.2560 | kd_loss=0.3352 | margin_loss=0.7950
Epoch 14/30 | loss=0.5390 | ce_loss=0.2519 | kd_loss=0.3128 | margin_loss=0.7652
Epoch 15/30 | loss=0.5144 | ce_loss=0.2487 | kd_loss=0.2931 | margin_loss=0.7357
Epoch 16/30 | loss=0.4953 | ce_loss=0.2451 | kd_loss=0.2780 | margin_loss=0.7126
Epoch 17/30 | loss=0.4783 | ce_loss=0.2428 | kd_loss=0.2644 | margin_loss=0.6921
Epoch 18/30 | loss=0.4655 | ce_loss=0.2401 | kd_loss=0.2520 | margin_loss=0.6789
Epoch 19/30 | loss=0.4535 | ce_loss=0.2383 | kd_loss=0.2415 | margin_loss=0.6655
Epoch 20/30 | loss=0.4429 | ce_loss=0.2366 | kd_loss=0.2315 | margin_loss=0.6543
Epoch 21/30 | loss=0.4346 | ce_loss=0.2349 | kd_loss=0.2240 | margin_loss=0.6452
Epoch 22/30 | loss=0.4269 | ce_loss=0.2327 | kd_loss=0.2167 | margin_loss=0.6371
Epoch 23/30 | loss=0.4204 | ce_loss=0.2322 | kd_loss=0.2107 | margin_loss=0.6301
Epoch 24/30 | loss=0.4119 | ce_loss=0.2302 | kd_loss=0.2060 | margin_loss=0.6179
Epoch 25/30 | loss=0.4101 | ce_loss=0.2298 | kd_loss=0.2021 | margin_loss=0.6181
Epoch 26/30 | loss=0.4039 | ce_loss=0.2292 | kd_loss=0.1986 | margin_loss=0.6092
Epoch 27/30 | loss=0.4015 | ce_loss=0.2281 | kd_loss=0.1950 | margin_loss=0.6080
Epoch 28/30 | loss=0.3963 | ce_loss=0.2273 | kd_loss=0.1914 | margin_loss=0.6011
Epoch 29/30 | loss=0.3948 | ce_loss=0.2271 | kd_loss=0.1902 | margin_loss=0.5995
Epoch 30/30 | loss=0.3921 | ce_loss=0.2265 | kd_loss=0.1875 | margin_loss=0.5966
Student Accuracy: 0.9303
