label,websocket,wasm,hash_function,webworkers,messageloop_load,postmessage_load,parallel_functions
1,1,1,1,38,15217982,466438478,1
1,1,0,0,31,18961382,848394958,1
1,1,0,1,28,27971718,38516200,1
1,1,0,0,24,29263793,85948503,1
1,1,1,1,23,17049616,36430,1
1,1,1,1,21,6884528,5227060,1
1,1,0,1,18,36485836,295526920,1
1,1,1,1,18,23138375,485395840,0
1,1,0,0,17,14250858,45334535,1
1,1,1,0,17,11737156,66645355,1
1,1,1,1,17,13220195,5491620,0
1,1,0,0,17,18427083,55545633,1
1,1,0,1,17,21587951,164452550,1
1,1,0,0,17,21659386,76497494,1
1,1,1,1,17,25079736,324560,1
1,1,1,1,17,15443756,8948944,1
1,1,1,0,17,11961238,889489,1
1,1,1,0,17,15909498,938498,1
1,1,1,1,17,17896689,84897933,1
1,1,1,0,17,20065764,8938944,1
1,1,1,1,17,18437311,164856280,0
1,1,1,0,17,19475982,100639660,1
1,1,1,0,17,18645140,37479873,1
1,1,1,0,17,14208088,4355322,1
1,1,1,1,17,20265824,123812020,1
1,1,1,0,17,19923335,93654580,1
1,1,0,1,17,22972335,49938440,1
1,1,1,1,17,103005304,885336980,1
1,1,0,1,17,97215654,933355250,1
1,1,0,1,17,35574898,765787456,1
1,1,0,1,17,87825369,844890350,1
1,1,0,0,17,10276830,666756,1
1,1,0,0,17,18868983,75456477,0
1,1,1,0,17,21183868,7675456,1
1,1,1,1,17,21923689,6543234,1
1,1,1,1,17,71392674,661073000,1
1,1,0,1,17,13204847,95795040,1
1,1,0,0,17,19017589,32204070,1
1,1,0,1,17,10494673,68006430,1
1,1,0,1,17,14157851,57181510,1
1,1,0,1,17,19917547,67241360,1
1,1,0,1,17,74033771,8887656,1
1,1,1,0,17,3758524,4565456,1
1,1,0,1,17,10472959,67564,1
1,1,1,1,17,10997506,69216120,1
1,1,0,1,17,55956064,547936290,1
1,1,1,0,17,13548306,93560590,0
1,1,1,1,17,13269779,77104950,1
1,1,1,0,17,20057954,9854566,1
1,1,1,0,17,13366281,53480,1
1,1,1,0,17,29000476,6655745,1
1,1,0,0,17,15583400,42110,1
