label,label_meaning,coverage_tier,perf_tier,n_perturbations_covered,mip_start,branch_priorities,lp_basis,bound_tightening,var_hint,zono_bounds,n1_probe,relax_threshold,relax_mode,sibling_gate,n_tested,n_win,n_lose,gm_win,gm_lose,gm_all,gm_all_with_lp,max_speed_up,min_speed_up,delta_error_avg,delta_error_abs_avg,delta_error_max,delta_error_min,elim_org_avg,elim_pert_avg,relaxed_org_avg,relaxed_pert_avg,n_win_seeds,n_flip_seeds,n_lose_seeds,archs_covered,tested_perturbations,c_targets_covered
broad-avg-win-risky,"4 perturbation(s), 3 arch(s); gm_all < 0.952x, worst cell > 1.333x",broad,avg-win-risky,4,no,off,no,yes,prev_pgd,no,off,0.0,btpr,yes,134,88,46,0.583x,1.330x,0.683x,0.683x,0.262x,2.621x,0.024789,0.045625,0.273576,-0.170538,elim not activated,elim not activated,0,0,0,1,0,"3x10,3x50,cnn1","linf(eps_0.1) | occ(eps_3,3,5) | occ(eps_5,5,5) | patch(eps_1,14,14,3)","0,1,2,3,4,5,6,7,8,9"
broad-avg-win-risky,"7 perturbation(s), 3 arch(s); gm_all < 0.952x, worst cell > 1.333x",broad,avg-win-risky,7,no,off,no,yes,prev_pgd,yes,off,0.5,btpr,yes,259,159,100,0.439x,2.323x,0.698x,0.698x,0.042x,55.556x,0.034113,0.196227,5.415618,-11.005320,elim not activated,elim not activated,33.7,36.2,0,1,0,"3x10,3x50,cnn1","linf(eps_0.1) | occ(eps_3,3,5) | occ(eps_5,5,5) | patch(eps_1,14,14,3) | translation(eps_1,1) | translation(eps_3,1) | translation(eps_3,3)","0,1,2,3,4,5,6,7,8,9"
broad-avg-win-risky,"7 perturbation(s), 3 arch(s); gm_all < 0.952x, worst cell > 1.333x",broad,avg-win-risky,7,no,off,no,yes,prev_pgd,yes,off,0.0,btpr,yes,257,158,99,0.531x,2.090x,0.791x,0.791x,0.037x,12.848x,-0.010051,0.158699,6.779373,-11.297996,elim not activated,elim not activated,0,0,0,1,0,"3x10,3x50,cnn1","linf(eps_0.1) | occ(eps_3,3,5) | occ(eps_5,5,5) | patch(eps_1,14,14,3) | translation(eps_1,1) | translation(eps_3,1) | translation(eps_3,3)","0,1,2,3,4,5,6,7,8,9"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,prev_pgd,no,off,0.5,btpr,no,54,38,16,0.316x,1.351x,0.405x,0.405x,0.044x,2.280x,-0.054171,0.293215,0.643433,-9.086567,elim not activated,elim not activated,45.6,47.6,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct_pgd,no,off,0.5,btpr,no,53,35,18,0.321x,1.227x,0.407x,0.407x,0.067x,1.411x,-0.089441,0.271416,0.464476,-9.157949,elim not activated,elim not activated,44.9,46.9,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,prev_pgd,no,off,0.0,btpr,no,54,34,20,0.296x,1.350x,0.433x,0.433x,0.082x,2.600x,-0.142609,0.210841,0.173398,-9.135695,elim not activated,elim not activated,0,0,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct_pgd,yes,off,0.5,btpr,no,53,32,21,0.310x,1.355x,0.458x,0.458x,0.083x,2.868x,-0.088923,0.271934,0.633031,-9.157949,elim not activated,elim not activated,44.9,46.9,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct_pgd,yes,off,0.0,btpr,no,51,30,21,0.318x,1.601x,0.501x,0.501x,0.096x,2.455x,-0.183026,0.198091,0.076608,-9.137883,elim not activated,elim not activated,0,0,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,no,off,0.0,btpr,no,53,30,23,0.301x,1.691x,0.571x,0.571x,0.100x,9.679x,-0.169276,0.198667,0.129863,-9.202379,elim not activated,elim not activated,0,0,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,yes,off,0.0,btpr,no,53,32,21,0.334x,1.803x,0.628x,0.628x,0.110x,10.944x,-0.148104,0.179636,0.129863,-9.202379,elim not activated,elim not activated,0,0,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct_pgd,no,off,0.0,btpr,no,51,28,23,0.299x,2.319x,0.641x,0.641x,0.097x,25.965x,-0.178935,0.201836,0.118816,-9.137883,elim not activated,elim not activated,0,0,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
