arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_advstd,delta_standard_lower_bound,delta_standard_upper_bound,delta_advstd_lower_bound,delta_advstd_upper_bound,delta_error,mip_start,branch_priorities,lp_basis,bound_tightening,var_hint,zono_bounds,n1_probe,relax_threshold,relax_mode,sibling_gate,elim_org,elim_pert,relaxed_org,relaxed_pert,sibgate_both_thin,sibgate_one_thin_org_dropped,sibgate_one_thin_pert_dropped,seed,how_much_faster,lp_optimization_time,time_advstd_with_lp,how_much_faster_with_lp,gap_standard,gap_advstd,solve_status_standard,solve_status_advstd,standard_file,advstd_file
3x10,linf,0.1,0,1,24.23,15.86,17.869317,17.919416,17.869315,17.891488,-0.027928,no,off,no,yes,prev_pgd,no,off,0.0,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,0.65x,0.00,15.86,0.65x,0.050099,0.022173,OPTIMAL,OPTIMAL,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/vagharWithPerturbed_3x10_19_sgd_itr1/63913667503686_3x10_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/advStd_3x10_N1_19/63913669260202_n2_3x10_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.0_SibGate_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt
3x10,linf,0.1,0,1,24.23,15.78,17.869317,17.919416,17.869315,17.891488,-0.027928,no,off,no,yes,prev_pgd,no,off,0.25,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,0.65x,0.00,15.78,0.65x,0.050099,0.022173,OPTIMAL,OPTIMAL,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/vagharWithPerturbed_3x10_19_sgd_itr1/63913667503686_3x10_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/advStd_3x10_N1_19/63913669267538_n2_3x10_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.25_SibGate_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt
3x10,linf,0.1,0,1,24.23,15.82,17.869317,17.919416,17.869315,17.891488,-0.027928,no,off,no,yes,prev_pgd,yes,off,0.0,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,0.65x,0.00,15.82,0.65x,0.050099,0.022173,OPTIMAL,OPTIMAL,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/vagharWithPerturbed_3x10_19_sgd_itr1/63913667503686_3x10_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/advStd_3x10_N1_19/63913669300825_n2_3x10_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.0_SibGate_zonoBounds_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt
3x10,linf,0.1,0,1,24.23,16.39,17.869317,17.919416,17.869315,17.891488,-0.027928,no,off,no,yes,prev_pgd,no,off,0.5,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,0.68x,0.00,16.39,0.68x,0.050099,0.022173,OPTIMAL,OPTIMAL,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/vagharWithPerturbed_3x10_19_sgd_itr1/63913667503686_3x10_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/advStd_3x10_N1_19/63913669291125_n2_3x10_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.5_SibGate_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt
3x10,linf,0.1,0,1,24.23,17.45,17.869317,17.919416,17.869315,17.891488,-0.027928,no,off,no,yes,prev_pgd,yes,off,0.5,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,0.72x,0.00,17.45,0.72x,0.050099,0.022173,OPTIMAL,OPTIMAL,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/vagharWithPerturbed_3x10_19_sgd_itr1/63913667503686_3x10_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/advStd_3x10_N1_19/63913669341013_n2_3x10_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.5_SibGate_zonoBounds_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt
3x10,linf,0.1,0,1,24.23,17.61,17.869317,17.919416,17.869315,17.891488,-0.027928,no,off,no,yes,prev_pgd,yes,off,0.25,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,0.73x,0.00,17.61,0.73x,0.050099,0.022173,OPTIMAL,OPTIMAL,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/vagharWithPerturbed_3x10_19_sgd_itr1/63913667503686_3x10_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/advStd_3x10_N1_19/63913669324135_n2_3x10_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.25_SibGate_zonoBounds_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3x10,linf,0.1,0,2,23.54,17.91,25.935426,25.935426,25.925616,26.039784,0.104359,no,off,no,yes,prev_pgd,yes,off,0.0,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,0.76x,0.00,17.91,0.76x,0.000000,0.114168,OPTIMAL,OPTIMAL,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/vagharWithPerturbed_3x10_19_sgd_itr1/63913667635786_3x10_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/advStd_3x10_N1_19/63913669300825_n2_3x10_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.0_SibGate_zonoBounds_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt
3x10,linf,0.1,0,2,23.54,18.44,25.935426,25.935426,25.925616,26.039784,0.104359,no,off,no,yes,prev_pgd,no,off,0.0,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,0.78x,0.00,18.44,0.78x,0.000000,0.114168,OPTIMAL,OPTIMAL,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/vagharWithPerturbed_3x10_19_sgd_itr1/63913667635786_3x10_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/advStd_3x10_N1_19/63913669260202_n2_3x10_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.0_SibGate_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt
3x10,linf,0.1,0,2,23.54,19.19,25.935426,25.935426,25.925616,26.039784,0.104359,no,off,no,yes,prev_pgd,no,off,0.25,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,0.82x,0.00,19.19,0.82x,0.000000,0.114168,OPTIMAL,OPTIMAL,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/vagharWithPerturbed_3x10_19_sgd_itr1/63913667635786_3x10_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x10_exp/linf/eps_0.1/advStd_3x10_N1_19/63913669267538_n2_3x10_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.25_SibGate_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt
