perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,how_much_faster
patch,"1,14,14,3",0,3,1800.15,1149.38,16.516488,57.456391,-0.109012,-0.108745,32,0.5,736,yes,1.57x
patch,"1,14,14,3",0,5,1800.27,520.56,13.672997,51.260469,0.027406,0.027406,32,0.5,736,yes,3.46x
patch,"1,14,14,3",0,3,1800.15,1140.46,16.516488,57.456391,-0.109012,-0.108745,48,0.5,736,yes,1.58x
patch,"1,14,14,3",0,5,1800.27,517.50,13.672997,51.260469,0.027406,0.027406,48,0.5,736,yes,3.48x
patch,"1,14,14,3",1,3,1800.15,455.01,12.109549,54.248116,0.036626,0.036627,32,0.5,736,yes,3.96x
patch,"1,14,14,3",1,3,1800.15,459.52,12.109549,54.248116,0.036626,0.036627,48,0.5,736,yes,3.92x
patch,"1,14,14,3",0,3,1800.15,616.24,16.516488,57.456391,-0.108661,-0.108653,32,0.5,736,no,2.92x
patch,"1,14,14,3",0,3,1800.15,985.37,16.516488,57.456391,-0.107023,-0.107023,32,1.2,738,yes,1.83x
patch,"1,14,14,3",0,5,1800.27,1181.29,13.672997,51.260469,0.029052,0.029342,32,1.2,738,yes,1.52x
patch,"1,14,14,3",1,3,1800.15,544.35,12.109549,54.248116,0.038008,0.038008,32,1.2,738,yes,3.31x
patch,"1,14,14,3",0,3,1800.15,850.82,16.516488,57.456391,-0.107023,-0.107023,48,1.2,738,yes,2.12x
patch,"1,14,14,3",0,5,1800.27,1121.49,13.672997,51.260469,0.029052,0.029342,48,1.2,738,yes,1.61x
patch,"1,14,14,3",1,3,1800.15,549.65,12.109549,54.248116,0.038008,0.038008,48,1.2,738,yes,3.28x
