perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,how_much_faster,gap_standard,gap_transfer,solve_status_standard,solve_status_transfer
occ,"1,1,5",0,3,1810.08,1814.79,11.551459,51.580163,3.797688,35.401210,32,inf,770,no,,40.028704,31.603522,,
,,,,,,,,,,,,,,,,,,
occ,"1,1,5",0,5,1810.12,1812.78,3.368836,31.303990,-0.095408,0.071257,32,rga0.01,633,no,,27.935154,0.166665,,
occ,"1,1,5",0,5,1810.12,1812.10,3.368836,31.303990,-0.103134,0.104818,32,rga0.05,651,no,,27.935154,0.207953,,
occ,"1,1,5",0,5,1810.12,1813.23,3.368836,31.303990,0.000000,0.236047,32,rga0.025,634,no,,27.935154,0.236047,,
occ,"1,1,5",0,5,1810.12,1812.39,3.368836,31.303990,-0.053113,0.210329,32,0.5,736,no,,27.935154,0.263442,,
occ,"1,1,5",0,5,1810.12,1812.36,3.368836,31.303990,-0.207249,0.246052,32,rga0.1,719,no,,27.935154,0.453301,,
occ,"1,1,5",0,5,1810.12,1813.29,3.368836,31.303990,-0.395866,0.225508,32,rga0.15,736,no,,27.935154,0.621373,,
,,,,,,,,,,,,,,,,,,
occ,"1,1,5",1,4,1810.10,1812.21,7.804060,54.301800,3.961618,37.627582,32,inf,770,no,,46.497740,33.665965,,
,,,,,,,,,,,,,,,,,,
patch,"1,14,14,3",0,3,1815.58,1813.47,16.516488,57.456391,1.131433,5.794074,32,rga0.75,748,no,,40.939903,4.662641,,
patch,"1,14,14,3",0,3,1815.58,1812.10,16.516488,57.456391,0.000000,6.183440,32,rga0.025,633,no,,40.939903,6.183440,,
patch,"1,14,14,3",0,3,1815.58,1812.97,16.516488,57.456391,0.000000,11.191920,32,rga0.05,650,no,,40.939903,11.191920,,
patch,"1,14,14,3",0,3,1815.58,1811.94,16.516488,57.456391,0.000000,14.872251,32,rga0.1,718,no,,40.939903,14.872251,,
patch,"1,14,14,3",0,3,1815.58,1813.26,16.516488,57.456391,0.000000,15.087024,32,3.0,747,no,,40.939903,15.087024,,
patch,"1,14,14,3",0,3,1815.58,1814.08,16.516488,57.456391,3.785654,33.553056,32,inf,776,no,,40.939903,29.767402,,
,,,,,,,,,,,,,,,,,,
patch,"1,14,14,3",0,5,1816.73,1816.92,13.672997,51.260469,0.727513,3.884927,32,rga0.75,748,no,,37.587471,3.157415,,
patch,"1,14,14,3",0,5,1816.73,1815.92,13.672997,51.260469,3.809953,32.929951,32,inf,776,no,,37.587471,29.119998,,
,,,,,,,,,,,,,,,,,,
patch,"1,14,14,3",1,3,1815.00,1812.34,12.109549,54.248116,1.331851,1.536085,32,rga0.75,748,no,,42.138568,0.204234,,
patch,"1,14,14,3",1,3,1815.00,1820.51,12.109549,54.248116,3.814792,31.687293,32,inf,776,no,,42.138568,27.872501,,
