arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,no_n1_bin_relax_on_n2,no_n1_encoding,how_much_faster,gap_standard,gap_transfer,solve_status_standard,solve_status_transfer
cnn1,occ,"1,1,5",0,4,466.93,548.48,7.032327,7.082383,-3.046310,5.267932,32,rgainf,382,yes,yes,no,1.17x,0.050056,8.314241,,INTERRUPTED
cnn1,occ,"1,1,5",0,4,466.93,1813.46,7.032327,7.082383,0.000000,4.940900,32,rga0.01,633,no,no,no,3.88x,0.050056,4.940900,,
cnn1,occ,"1,1,5",0,4,466.93,1813.35,7.032327,7.082383,0.000000,12.468734,32,rga0.025,634,no,no,no,3.88x,0.050056,12.468734,,
cnn1,occ,"1,1,5",0,4,466.93,1811.31,7.032327,7.082383,0.000000,0.771051,32,rga0.05,651,no,no,no,3.88x,0.050056,0.771051,,
cnn1,occ,"1,1,5",0,4,466.93,1812.80,7.032327,7.082383,0.000000,10.054230,32,rga0.15,736,no,no,no,3.88x,0.050056,10.054230,,
cnn1,occ,"1,1,5",0,4,466.93,1813.29,7.032327,7.082383,-0.630731,1.249585,32,rga0.1,719,no,no,no,3.88x,0.050056,1.880316,,
cnn1,occ,"1,1,5",0,4,466.93,1812.81,7.032327,7.082383,-1.017750,0.794043,32,0.5,736,no,no,no,3.88x,0.050056,1.811793,,
cnn1,occ,"1,1,5",0,4,466.93,1812.60,7.032327,7.082383,3.824296,27.643783,32,inf,770,no,no,no,3.88x,0.050056,23.819488,,
,,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",1,3,152.04,1812.07,5.391640,5.444297,-0.062521,-0.059512,32,rga0.01,633,no,no,no,11.92x,0.052657,0.003010,,
cnn1,occ,"1,1,5",1,3,152.04,1812.28,5.391640,5.444297,-0.059886,-0.043981,32,rga0.05,651,no,no,no,11.92x,0.052657,0.015905,,
cnn1,occ,"1,1,5",1,3,152.04,1812.65,5.391640,5.444297,-0.034359,-0.016978,32,rga0.1,719,no,no,no,11.92x,0.052657,0.017380,,
cnn1,occ,"1,1,5",1,3,152.04,1812.26,5.391640,5.444297,3.984707,29.183785,32,inf,770,no,no,no,11.92x,0.052657,25.199078,,
cnn1,occ,"1,1,5",1,3,152.04,1814.06,5.391640,5.444297,-0.066456,-0.059281,32,rga0.025,634,no,no,no,11.93x,0.052657,0.007175,,
cnn1,occ,"1,1,5",1,3,152.04,1815.38,5.391640,5.444297,-0.036850,-0.004642,32,rga0.15,736,no,no,no,11.94x,0.052657,0.032207,,
cnn1,occ,"1,1,5",1,3,152.04,1814.88,5.391640,5.444297,-0.036617,-0.014162,32,0.5,736,no,no,no,11.94x,0.052657,0.022455,,
,,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",1,5,73.15,322.74,5.678939,55.772106,-0.020097,-0.020097,32,rga0.025,634,no,no,no,4.41x,50.093167,0.000000,,
cnn1,occ,"1,1,5",1,5,73.15,393.93,5.678939,55.772106,-0.020097,-0.020097,32,rga0.01,633,no,no,no,5.39x,50.093167,0.000000,,
cnn1,occ,"1,1,5",1,5,73.15,451.87,5.678939,55.772106,-0.020212,-0.020081,32,rga0.05,651,no,no,no,6.18x,50.093167,0.000131,,
cnn1,occ,"1,1,5",1,5,73.15,454.16,5.678939,55.772106,0.000593,0.000593,32,rga0.1,719,no,no,no,6.21x,50.093167,0.000000,,
cnn1,occ,"1,1,5",1,5,73.15,587.93,5.678939,55.772106,0.006577,0.006597,32,0.5,736,no,no,no,8.04x,50.093167,0.000020,,
cnn1,occ,"1,1,5",1,5,73.15,589.52,5.678939,55.772106,0.006577,0.006597,32,rga0.15,736,no,no,no,8.06x,50.093167,0.000020,,
cnn1,occ,"1,1,5",1,5,73.15,1810.68,5.678939,55.772106,4.101034,42.112777,32,inf,770,no,no,no,24.75x,50.093167,38.011743,,
,,,,,,,,,,,,,,,,,,,,,
