arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,no_n1_bin_relax_on_n2,no_n1_encoding,how_much_faster,solve_status_standard,solve_status_transfer
cnn1,occ,"1,1,5",0,3,74.46,163.43,11.551457,11.551457,5.625069,5.625073,32,rga0.05,357,yes,no,yes+zono,2.19x,,OPTIMAL
cnn1,occ,"1,1,5",0,3,74.46,303.40,11.551457,11.551457,5.624984,5.669078,32,rga0.0,0,yes,no,yes+zono,4.07x,,OPTIMAL
cnn1,occ,"1,1,5",0,3,74.46,321.55,11.551457,11.551457,-0.118704,-0.118704,32,rga0.025,634,no,no,no,4.32x,,
cnn1,occ,"1,1,5",0,3,74.46,370.41,11.551457,11.551457,-0.844740,-0.844495,32,rgainf,382,yes,yes,no,4.97x,,OPTIMAL
cnn1,occ,"1,1,5",0,3,74.46,455.86,11.551457,11.551457,-0.061490,-0.061490,32,0.5,736,no,no,no,6.12x,,
cnn1,occ,"1,1,5",0,3,74.46,470.83,11.551457,11.551457,-0.061490,-0.061490,32,rga0.15,736,no,no,no,6.32x,,
cnn1,occ,"1,1,5",0,3,74.46,654.31,11.551457,11.551457,-0.119031,-0.118749,32,rga0.01,633,no,no,no,8.79x,,
cnn1,occ,"1,1,5",0,3,74.46,716.01,11.551457,11.551457,-0.110345,-0.110339,32,rga0.05,651,no,no,no,9.62x,,
cnn1,occ,"1,1,5",0,3,74.46,1779.62,11.551457,11.551457,-0.061489,-0.061053,32,rga0.1,719,no,no,no,23.90x,,
cnn1,occ,"1,1,5",0,3,74.46,1814.79,11.551457,11.551457,3.797688,35.401210,32,inf,770,no,no,no,24.37x,,
,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",0,4,194.19,548.48,7.027990,7.094580,-3.046310,5.267932,32,rgainf,382,yes,yes,no,2.82x,,INTERRUPTED
cnn1,occ,"1,1,5",0,4,194.19,1811.31,7.027990,7.094580,0.000000,0.771051,32,rga0.05,651,no,no,no,9.33x,,
cnn1,occ,"1,1,5",0,4,194.19,1812.60,7.027990,7.094580,3.824296,27.643783,32,inf,770,no,no,no,9.33x,,
cnn1,occ,"1,1,5",0,4,194.19,1813.46,7.027990,7.094580,0.000000,4.940900,32,rga0.01,633,no,no,no,9.34x,,
cnn1,occ,"1,1,5",0,4,194.19,1813.35,7.027990,7.094580,0.000000,12.468734,32,rga0.025,634,no,no,no,9.34x,,
cnn1,occ,"1,1,5",0,4,194.19,1812.80,7.027990,7.094580,0.000000,10.054230,32,rga0.15,736,no,no,no,9.34x,,
cnn1,occ,"1,1,5",0,4,194.19,1813.29,7.027990,7.094580,-0.630731,1.249585,32,rga0.1,719,no,no,no,9.34x,,
cnn1,occ,"1,1,5",0,4,194.19,1812.81,7.027990,7.094580,-1.017750,0.794043,32,0.5,736,no,no,no,9.34x,,
,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",0,5,174.89,1812.10,4.770548,4.809775,-0.103134,0.104818,32,rga0.05,651,no,no,no,10.36x,,
