arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,encoding_skip,bound_n2_relu_using_zonotope,bound_n2_non_relu_using_zonotope,how_much_faster,solve_status_standard,solve_status_transfer
cnn1,occ,"1,1,5",0,4,194.19,342.30,7.027990,7.094580,0.367776,0.371284,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+linkN2xpN2x,yes,no,1.76x,,OPTIMAL
cnn1,occ,"1,1,5",0,4,194.19,360.08,7.027990,7.094580,0.367776,0.371284,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.85x,,OPTIMAL
cnn1,occ,"1,1,5",0,4,194.19,458.69,7.027990,7.094580,0.367776,0.371284,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp,yes,no,2.36x,,OPTIMAL
cnn1,occ,"1,1,5",0,4,194.19,555.07,7.027990,7.094580,0.367776,0.371284,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,2.86x,,OPTIMAL
cnn1,occ,"1,1,5",0,4,194.19,1800.04,7.027990,7.094580,0.000000,9.740327,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,no,9.27x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,4,194.19,1800.54,7.027990,7.094580,0.000000,9.740327,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,yes,9.27x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,4,194.19,1800.04,7.027990,7.094580,0.000000,9.740327,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,yes,no,9.27x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,4,194.19,1800.04,7.027990,7.094580,0.000000,9.740327,,rga0.0,,yes,no_n1_encoding+last_layer_no_bin+zono,yes,yes,9.27x,,TIME_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",0,5,174.89,205.52,4.770548,4.809775,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.18x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,215.37,4.770548,4.809775,0.000000,-0.000000,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+linkN2xpN2x,yes,no,1.23x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,223.72,4.770548,4.809775,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp,yes,no,1.28x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,247.02,4.770548,4.809775,0.000000,-0.000000,,rga0.0,,yes,no_n1_encoding+last_layer_no_bin+zono,yes,yes,1.41x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,250.56,4.770548,4.809775,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.43x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,258.05,4.770548,4.809775,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,yes,no,1.48x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,265.69,4.770548,4.809775,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,no,1.52x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,289.08,4.770548,4.809775,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,yes,1.65x,,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",1,4,61.83,86.15,7.804042,7.804094,0.009346,0.009346,,rga0.0,,yes,no_n1_encoding+last_layer_no_bin+zono,yes,yes,1.39x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,87.05,7.804042,7.804094,0.009346,0.009346,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,yes,1.41x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,87.28,7.804042,7.804094,0.009346,0.009346,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,yes,no,1.41x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,97.20,7.804042,7.804094,0.009346,0.009346,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,no,1.57x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,96.80,7.804042,7.804094,0.009346,0.009395,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+linkN2xpN2x,yes,no,1.57x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,106.31,7.804042,7.804094,0.009346,0.009395,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.72x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,109.69,7.804042,7.804094,0.009346,0.009395,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp,yes,no,1.77x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,155.43,7.804042,7.804094,0.009346,0.009395,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,2.51x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"3,3,5",0,4,367.16,415.34,10.867350,10.967109,0.262263,0.264643,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+linkN2xpN2x,yes,no,1.13x,OPTIMAL,OPTIMAL
cnn1,occ,"3,3,5",0,4,367.16,471.71,10.867350,10.967109,0.264552,0.265071,32,rga0.0,0,yes,no_n1_encoding+last_layer,no,no,1.28x,OPTIMAL,OPTIMAL
