arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,no_n1_bin_relax_on_n2,no_n1_encoding,how_much_faster,gap_standard,gap_transfer,solve_status_standard,solve_status_transfer
cnn1,occ,"1,1,5",0,3,1810.08,1779.62,11.551459,51.580163,-0.061489,-0.061053,32,rga0.1,719,no,no,no,1.02x,40.028704,0.000436,,
cnn1,occ,"1,1,5",0,3,1810.08,716.01,11.551459,51.580163,-0.110345,-0.110339,32,rga0.05,651,no,no,no,2.53x,40.028704,0.000006,,
cnn1,occ,"1,1,5",0,3,1810.08,654.31,11.551459,51.580163,-0.119031,-0.118749,32,rga0.01,633,no,no,no,2.77x,40.028704,0.000282,,
cnn1,occ,"1,1,5",0,3,1810.08,470.83,11.551459,51.580163,-0.061490,-0.061490,32,rga0.15,736,no,no,no,3.84x,40.028704,0.000000,,
cnn1,occ,"1,1,5",0,3,1810.08,455.86,11.551459,51.580163,-0.061490,-0.061490,32,0.5,736,no,no,no,3.97x,40.028704,0.000000,,
cnn1,occ,"1,1,5",0,3,1810.08,370.41,11.551459,51.580163,-0.844740,-0.844495,32,rgainf,382,yes,yes,no,4.89x,40.028704,0.000245,,OPTIMAL
cnn1,occ,"1,1,5",0,3,1810.08,321.55,11.551459,51.580163,-0.118704,-0.118704,32,rga0.025,634,no,no,no,5.63x,40.028704,0.000000,,
,,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",1,4,1810.10,1003.78,7.804060,54.301800,0.014524,0.014525,32,rga0.025,634,no,no,no,1.80x,46.497740,0.000001,,
cnn1,occ,"1,1,5",1,4,1810.10,612.22,7.804060,54.301800,0.048717,0.048717,32,rga0.15,736,no,no,no,2.96x,46.497740,0.000000,,
cnn1,occ,"1,1,5",1,4,1810.10,500.13,7.804060,54.301800,0.014462,0.014546,32,rga0.01,633,no,no,no,3.62x,46.497740,0.000085,,
cnn1,occ,"1,1,5",1,4,1810.10,490.16,7.804060,54.301800,0.048717,0.048717,32,0.5,736,no,no,no,3.69x,46.497740,0.000000,,
