arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,no_n1_bin_relax_on_n2,no_n1_encoding,how_much_faster,solve_status_standard,solve_status_transfer
cnn1,occ,"1,1,5",0,4,194.19,15.46,7.027990,7.094580,6.279744,6.279744,32,rga0.0,0,yes,no,yes+zono,12.56x,,OPTIMAL
cnn1,occ,"1,1,5",0,4,194.19,15.15,7.027990,7.094580,6.279744,6.279744,32,rga0.05,357,yes,no,yes+zono,12.82x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",0,5,174.89,14.58,4.770548,4.809775,6.279744,6.279744,32,rga0.05,357,yes,no,yes+zono,12.00x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",1,3,87.73,15.32,5.399273,5.451446,3.497925,3.497925,32,rga0.0,0,yes,no,yes+zono,5.73x,,OPTIMAL
cnn1,occ,"1,1,5",1,3,87.73,13.31,5.399273,5.451446,3.497925,3.497925,32,rga0.05,357,yes,no,yes+zono,6.59x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",1,4,61.83,28.31,7.804042,7.804094,3.497925,3.497925,32,rga0.05,357,yes,no,yes+zono,2.18x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,12.88,7.804042,7.804094,3.497925,3.497925,32,rga0.0,0,yes,no,yes+zono,4.80x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",1,5,101.80,14.33,7.196610,7.197024,3.497925,3.497925,32,rga0.05,357,yes,no,yes+zono,7.10x,,OPTIMAL
cnn1,occ,"1,1,5",1,5,101.80,12.57,7.196610,7.197024,3.497925,3.497925,32,rga0.0,0,yes,no,yes+zono,8.10x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,
cnn1,patch,"1,14,14,3",0,3,96.17,84.58,16.516486,16.644788,4.625189,4.625189,32,rga0.05,356,yes,no,yes+zono,1.14x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,63.36,16.516486,16.644788,10.377822,10.391551,32,rga0.0,0,no,yes,yes,1.52x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,62.25,16.516486,16.644788,10.357266,10.357266,32,rga0.0,0,yes,no,yes+n1xp,1.54x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,54.62,16.516486,16.644788,4.625189,4.625189,32,rga0.0,0,yes,no,yes+zono,1.76x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,45.73,16.516486,16.644788,10.271593,10.357266,32,rga0.0,0,yes,yes,yes,2.10x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,42.85,16.516486,16.644788,10.357266,10.357266,32,rga0.025,356,yes,no,yes+n1xp,2.24x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,42.76,16.516486,16.644788,10.342765,10.391424,32,rga0.05,356,no,yes,yes,2.25x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,41.02,16.516486,16.644788,10.374406,10.391424,32,rga0.0,0,no,no,yes+n1xp,2.34x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,40.67,16.516486,16.644788,10.357266,10.357266,32,rga0.05,356,yes,no,yes+n1xp,2.36x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,37.09,16.516486,16.644788,10.342765,10.391424,32,rga0.025,356,no,yes,yes,2.59x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,33.83,16.516486,16.644788,10.391424,10.391555,32,rga0.05,356,no,no,yes+n1xp,2.84x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,30.53,16.516486,16.644788,10.391424,10.391555,32,rga0.025,356,no,no,yes+n1xp,3.15x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,29.90,16.516486,16.644788,10.300273,10.357266,32,rga0.025,356,yes,yes,yes,3.22x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,29.39,16.516486,16.644788,10.300273,10.357266,32,rga0.05,356,yes,yes,yes,3.27x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,
cnn1,patch,"1,14,14,3",0,4,328.21,310.08,12.531821,12.588245,-3.381551,10.400911,32,rgainf,388,yes,yes,no,1.06x,,INTERRUPTED
cnn1,patch,"1,14,14,3",0,4,328.21,297.49,12.531821,12.588245,-0.995292,9.682368,32,rgainf,388,no,yes,no,1.10x,,INTERRUPTED
cnn1,patch,"1,14,14,3",0,4,328.21,103.83,12.531821,12.588245,5.583928,5.583928,32,rga0.0,0,yes,no,yes+zono,3.16x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,4,328.21,100.15,12.531821,12.588245,5.583928,5.583928,32,rga0.05,356,yes,no,yes+zono,3.28x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,4,328.21,39.82,12.531821,12.588245,10.690011,10.690011,32,rga0.0,0,no,yes,yes,8.24x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,4,328.21,29.26,12.531821,12.588245,10.659586,10.659586,32,rga0.0,0,yes,yes,yes,11.22x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,4,328.21,25.73,12.531821,12.588245,10.690011,10.690011,32,rga0.025,356,no,yes,yes,12.76x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,4,328.21,25.13,12.531821,12.588245,10.690011,10.690011,32,rga0.05,356,no,yes,yes,13.06x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,4,328.21,23.30,12.531821,12.588245,10.659586,10.659586,32,rga0.025,356,yes,yes,yes,14.08x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,4,328.21,21.29,12.531821,12.588245,10.659586,10.659586,32,rga0.05,356,yes,yes,yes,15.42x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,
cnn1,patch,"1,14,14,3",0,5,62.33,29.23,13.796666,13.907650,10.690011,10.690011,32,rga0.0,0,no,yes,yes,2.13x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,5,62.33,24.72,13.796666,13.907650,10.690011,10.690011,32,rga0.05,356,no,yes,yes,2.52x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,5,62.33,23.14,13.796666,13.907650,10.690011,10.690011,32,rga0.025,356,no,yes,yes,2.69x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,5,62.33,22.06,13.796666,13.907650,10.659586,10.659586,32,rga0.025,356,yes,yes,yes,2.83x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,5,62.33,20.23,13.796666,13.907650,10.659586,10.659586,32,rga0.05,356,yes,yes,yes,3.08x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,5,62.33,17.24,13.796666,13.907650,10.659586,10.659586,32,rga0.0,0,yes,yes,yes,3.62x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,
cnn1,patch,"1,14,14,3",1,3,94.60,51.00,12.109548,12.109548,2.748398,2.748398,32,rga0.0,0,yes,no,yes+zono,1.86x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,3,94.60,28.50,12.109548,12.109548,7.769256,7.769256,32,rga0.0,0,no,yes,yes,3.32x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,3,94.60,18.73,12.109548,12.109548,7.737424,7.737424,32,rga0.05,356,yes,yes,yes,5.05x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,3,94.60,18.66,12.109548,12.109548,7.737424,7.737424,32,rga0.025,356,yes,yes,yes,5.07x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,3,94.60,18.60,12.109548,12.109548,7.769256,7.769256,32,rga0.05,356,no,yes,yes,5.09x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,3,94.60,18.07,12.109548,12.109548,7.769256,7.769256,32,rga0.025,356,no,yes,yes,5.23x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,3,94.60,16.32,12.109548,12.109548,7.737424,7.737424,32,rga0.0,0,yes,yes,yes,5.80x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,
cnn1,patch,"1,14,14,3",1,4,113.19,92.85,9.540657,9.540657,3.417367,3.417445,32,rga0.05,356,yes,no,yes+zono,1.22x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,4,113.19,14.13,9.540657,9.540657,7.769256,7.769256,32,rga0.05,356,no,yes,yes,8.01x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,4,113.19,13.51,9.540657,9.540657,7.737424,7.737424,32,rga0.025,356,yes,yes,yes,8.38x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,4,113.19,12.96,9.540657,9.540657,7.704902,7.737424,32,rga0.0,0,yes,yes,yes,8.73x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,4,113.19,12.92,9.540657,9.540657,7.737424,7.737424,32,rga0.05,356,yes,yes,yes,8.76x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,4,113.19,12.87,9.540657,9.540657,7.734858,7.769256,32,rga0.0,0,no,yes,yes,8.79x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,4,113.19,12.70,9.540657,9.540657,7.769256,7.769256,32,rga0.025,356,no,yes,yes,8.91x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,
cnn1,patch,"1,14,14,3",1,5,138.25,86.81,9.376198,9.448297,3.437602,3.437698,32,rga0.05,356,yes,no,yes+zono,1.59x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,5,138.25,46.00,9.376198,9.448297,3.437602,3.437671,32,rga0.0,0,yes,no,yes+zono,3.01x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,5,138.25,14.41,9.376198,9.448297,7.769256,7.769256,32,rga0.05,356,no,yes,yes,9.59x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,5,138.25,13.89,9.376198,9.448297,7.737424,7.737424,32,rga0.05,356,yes,yes,yes,9.95x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,5,138.25,13.40,9.376198,9.448297,7.746653,7.769256,32,rga0.0,0,no,yes,yes,10.32x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,5,138.25,13.17,9.376198,9.448297,7.737424,7.737424,32,rga0.025,356,yes,yes,yes,10.50x,,OPTIMAL
cnn1,patch,"1,14,14,3",1,5,138.25,12.70,9.376198,9.448297,7.721809,7.737424,32,rga0.0,0,yes,yes,yes,10.88x,,OPTIMAL
