arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,encoding_skip,bound_n2_relu_using_zonotope,bound_n2_non_relu_using_zonotope,how_much_faster,solve_status_standard,solve_status_transfer
3x10,occ,"1,1,5",0,3,15.49,3.06,0.109004,0.109425,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,5.06x,OPTIMAL,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
3x10,occ,"1,1,5",0,4,16.31,1.25,0.188092,0.189337,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,13.03x,OPTIMAL,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
3x10,occ,"1,1,5",0,5,15.06,1.91,0.106829,0.107835,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,7.88x,OPTIMAL,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
3x10,occ,"3,3,5",0,3,14.59,3.04,0.929382,0.936282,0.069666,0.069666,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,4.80x,OPTIMAL,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
3x10,occ,"3,3,5",0,4,16.49,1.91,1.608820,1.608820,0.000273,0.000273,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,8.65x,OPTIMAL,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
3x10,occ,"3,3,5",0,5,14.70,1.73,3.143086,3.143811,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,8.51x,OPTIMAL,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
3x10,occ,"5,5,5",0,3,21.76,3.63,2.315471,2.322294,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,6.00x,OPTIMAL,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
3x10,occ,"5,5,5",0,4,15.18,2.31,3.453301,3.453301,0.000540,0.000540,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,6.56x,OPTIMAL,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
3x10,occ,"5,5,5",0,5,15.59,2.26,4.604138,4.604138,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,6.89x,OPTIMAL,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
3x10,patch,"1,14,14,3",0,3,14.75,1.95,9.061635,9.061635,0.091245,0.091245,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,7.56x,OPTIMAL,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
3x10,patch,"1,14,14,3",0,4,15.24,2.30,6.450657,6.450657,0.011341,0.011341,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,6.62x,OPTIMAL,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
3x10,patch,"1,14,14,3",0,5,16.13,1.81,8.701272,8.720406,0.042520,0.042520,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,8.93x,OPTIMAL,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
3x10,rotation,10,0,3,30.93,1.38,31.585324,31.759222,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,22.47x,OPTIMAL,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
3x10,translation,"1,1",0,3,13.93,0.30,32.621803,32.847667,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,46.30x,OPTIMAL,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
3x10,translation,"1,1",0,4,15.18,1.21,28.479307,28.479307,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,12.58x,OPTIMAL,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
3x10,translation,"1,1",0,5,15.40,0.27,32.725914,32.845152,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,57.16x,OPTIMAL,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
