label,label_meaning,coverage_tier,perf_tier,n_perturbations_covered,mip_start,branch_priorities,lp_basis,bound_tightening,var_hint,zono_bounds,n1_probe,relax_threshold,relax_mode,sibling_gate,n_tested,n_win,n_lose,gm_win,gm_lose,gm_all,gm_all_with_lp,max_speed_up,min_speed_up,delta_error_avg,delta_error_abs_avg,delta_error_max,delta_error_min,elim_org_avg,elim_pert_avg,relaxed_org_avg,relaxed_pert_avg,n_win_seeds,n_flip_seeds,n_lose_seeds,archs_covered,tested_perturbations,c_targets_covered
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,prev_pgd,no,off,0.5,btpr,no,30,22,8,0.294x,1.408x,0.376x,0.376x,0.044x,2.280x,-0.100456,0.505315,0.643433,-9.086567,elim not activated,elim not activated,82,85.6,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct_pgd,no,off,0.5,btpr,no,29,19,10,0.298x,1.247x,0.376x,0.376x,0.067x,1.411x,-0.157921,0.476426,0.464476,-9.157949,elim not activated,elim not activated,82,85.7,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,prev_pgd,no,off,0.0,btpr,no,30,20,10,0.275x,1.382x,0.403x,0.403x,0.082x,2.600x,-0.258561,0.358125,0.173398,-9.135695,elim not activated,elim not activated,0,0,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct_pgd,yes,off,0.5,btpr,no,29,19,10,0.290x,1.399x,0.430x,0.430x,0.083x,2.868x,-0.156974,0.477372,0.633031,-9.157949,elim not activated,elim not activated,82,85.7,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct_pgd,yes,off,0.0,btpr,no,27,16,11,0.294x,1.684x,0.473x,0.473x,0.096x,2.455x,-0.339764,0.353108,0.049092,-9.137883,elim not activated,elim not activated,0,0,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,no,off,0.0,btpr,no,29,14,15,0.272x,1.747x,0.550x,0.550x,0.100x,9.679x,-0.309174,0.341901,0.129863,-9.202379,elim not activated,elim not activated,0,0,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,yes,off,0.0,btpr,no,29,14,15,0.304x,1.852x,0.613x,0.613x,0.110x,10.944x,-0.249502,0.285267,0.129863,-9.202379,elim not activated,elim not activated,0,0,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct_pgd,no,off,0.0,btpr,no,27,12,15,0.270x,2.465x,0.626x,0.626x,0.097x,25.965x,-0.332037,0.360182,0.118816,-9.137883,elim not activated,elim not activated,0,0,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"3 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,3,no,off,no,yes,prev_pgd,no,off,0.0,btpr,yes,53,37,16,0.563x,1.449x,0.654x,0.654x,0.262x,2.621x,0.052801,0.063216,0.158033,-0.107910,elim not activated,elim not activated,0,0,0,1,0,"3x50,cnn1","occ(eps_3,3,5) | occ(eps_5,5,5) | patch(eps_1,14,14,3)","0,1,2,3,4,5,6,7,8,9"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,yes,off,0.5,btpr,no,29,21,8,0.595x,1.443x,0.707x,0.707x,0.308x,2.025x,0.151971,0.156551,0.464475,-0.040072,elim not activated,elim not activated,82,85.1,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,no,off,0.5,btpr,no,29,20,9,0.604x,1.437x,0.724x,0.724x,0.320x,1.970x,0.148929,0.153508,0.464475,-0.040072,elim not activated,elim not activated,82,85.1,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,no,off,0.1,btpr,no,18,14,4,0.616x,2.276x,0.771x,0.771x,0.350x,3.660x,-0.000477,0.025340,0.080868,-0.071768,elim not activated,elim not activated,1,1.3,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,yes,off,0.1,btpr,no,18,14,4,0.632x,2.265x,0.784x,0.784x,0.427x,3.384x,-0.013360,0.018644,0.025047,-0.071768,elim not activated,elim not activated,1,1.2,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct,yes,off,0.0,btpr,no,18,12,6,0.594x,1.321x,0.795x,0.795x,0.395x,2.044x,0.000093,0.026707,0.075855,-0.117066,elim not activated,elim not activated,0,0,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,yes,off,0.05,btpr,no,18,11,7,0.599x,1.626x,0.840x,0.840x,0.433x,3.222x,-0.017648,0.018780,0.006290,-0.071768,elim not activated,elim not activated,1,1.2,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct,no,off,0.0,btpr,no,18,10,8,0.591x,1.340x,0.841x,0.841x,0.433x,2.027x,-0.002114,0.028330,0.102007,-0.117066,elim not activated,elim not activated,0,0,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct,no,off,0.5,btpr,no,17,11,6,0.603x,1.227x,0.866x,0.866x,0.436x,2.689x,0.119778,0.119778,0.285361,0.012309,elim not activated,elim not activated,82,85.2,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
