arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_advstd,delta_standard_lower_bound,delta_standard_upper_bound,delta_advstd_lower_bound,delta_advstd_upper_bound,mip_start,branch_priorities,lp_basis,bound_tightening,seed,how_much_faster,gap_standard,gap_advstd,solve_status_standard,solve_status_advstd,standard_file,advstd_file
cnn1,patch,"1,14,14,3",0,4,715.75,749.30,12.531821,12.634458,12.531822,12.627686,yes,no,yes,yes,4,1.05x,0.102637,0.095865,,OPTIMAL,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911693608403_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_mipStart_lpBasis_boundTight_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,771.79,12.531821,12.634458,12.531821,12.631076,yes,no,yes,yes,4,1.08x,0.102637,0.099255,,OPTIMAL,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911697547387_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_mipStart_lpBasis_boundTight_HyperAttackCutoff_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,875.49,12.531821,12.634458,12.531822,12.559958,yes,no,yes,no,4,1.22x,0.102637,0.028136,,OPTIMAL,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911693586883_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_mipStart_lpBasis_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,1800.19,12.531821,12.634458,12.531825,21.134784,yes,no,yes,no,4,2.52x,0.102637,8.602959,,TIME_LIMIT,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911692311861_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_mipStart_lpBasis_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,1811.96,12.531821,12.634458,12.531825,20.821582,yes,yes,yes,yes,4,2.53x,0.102637,8.289757,,TIME_LIMIT,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911730700232_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_mipStart_branchPri_lpBasis_boundTight_seed4_HyperAttackCutoff_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,1813.76,12.531821,12.634458,12.531825,20.821582,yes,yes,yes,no,4,2.53x,0.102637,8.289757,,TIME_LIMIT,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911732453061_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_mipStart_branchPri_lpBasis_seed4_HyperAttackCutoff_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,1811.92,12.531821,12.634458,12.531825,20.821582,yes,yes,no,yes,4,2.53x,0.102637,8.289757,,TIME_LIMIT,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911733277775_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_mipStart_branchPri_boundTight_seed4_HyperAttackCutoff_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,1812.32,12.531821,12.634458,12.531825,20.821582,yes,yes,no,no,4,2.53x,0.102637,8.289757,,TIME_LIMIT,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911735080168_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_mipStart_branchPri_seed4_HyperAttackCutoff_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,1812.20,12.531821,12.634458,12.531825,20.821582,yes,no,yes,yes,4,2.53x,0.102637,8.289757,,TIME_LIMIT,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911736862943_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_mipStart_lpBasis_boundTight_seed4_HyperAttackCutoff_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,1811.81,12.531821,12.634458,12.531825,20.821582,yes,no,yes,no,4,2.53x,0.102637,8.289757,,TIME_LIMIT,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911738098473_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_mipStart_lpBasis_seed4_HyperAttackCutoff_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,1812.07,12.531821,12.634458,12.531825,20.821582,yes,no,no,yes,4,2.53x,0.102637,8.289757,,TIME_LIMIT,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911739885093_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_mipStart_boundTight_seed4_HyperAttackCutoff_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,1811.94,12.531821,12.634458,12.531825,20.821582,yes,no,no,no,4,2.53x,0.102637,8.289757,,TIME_LIMIT,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911741632558_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_mipStart_seed4_HyperAttackCutoff_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,1812.15,12.531821,12.634458,12.531825,19.218436,no,yes,yes,yes,4,2.53x,0.102637,6.686611,,TIME_LIMIT,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911741701175_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_branchPri_lpBasis_boundTight_seed2_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,1811.95,12.531821,12.634458,12.531825,19.218436,no,yes,yes,no,4,2.53x,0.102637,6.686611,,TIME_LIMIT,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911744660470_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_branchPri_lpBasis_seed2_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt"
cnn1,patch,"1,14,14,3",0,4,715.75,1811.15,12.531821,12.634458,12.531825,19.218436,no,yes,no,yes,4,2.53x,0.102637,6.686611,,TIME_LIMIT,"/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/vagharNoPerturbed_cnn1_seed42_itr20_sgd_itr1/63910131706641_cnn1_patch_1.0,14.0,14.0,3.0_ctag0__HyperAttackHints_VagharDeps_cTag1.txt","/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/cnn1_exp/patch/eps_1,14,14,3/advStd_cnn1_N1_model_seed42_itr20/63911746039615_n2_cnn1_patch_1.0,14.0,14.0,3.0_ctag0_model_seed42_itr20_sgd_itr1_N2_advStd_branchPri_boundTight_seed2_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt"
