arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,encoding_skip,bound_n2_relu_using_zonotope,bound_n2_non_relu_using_zonotope,how_much_faster,solve_status_standard,solve_status_transfer
3x10,occ,"1,1,5",0,4,16.31,16.80,0.188092,0.189337,-0.075329,-0.075329,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,1.03x,OPTIMAL,OPTIMAL
3x10,occ,"1,1,5",0,4,16.31,17.29,0.188092,0.189337,-0.075329,-0.075329,32,rga0.0,0,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,1.06x,OPTIMAL,OPTIMAL
3x10,occ,"1,1,5",0,4,16.31,17.46,0.188092,0.189337,-0.075329,-0.075329,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,1.07x,OPTIMAL,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",0,3,74.46,1800.04,11.551457,11.551457,0.000000,-0.646649,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,24.18x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,1800.04,11.551457,11.551457,0.000000,-0.745470,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,24.18x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,1800.06,11.551457,11.551457,0.000000,-0.729835,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,yes,24.18x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,1800.04,11.551457,11.551457,0.000000,-0.744740,32,rga0.0,0,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,24.18x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,1800.04,11.551457,11.551457,0.000000,-0.742259,,rga0.0,,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,24.18x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,1800.05,11.551457,11.551457,0.000000,-0.731008,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,24.18x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,1800.04,11.551457,11.551457,0.000000,-0.724547,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,24.18x,,TIME_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",0,4,194.19,1800.07,7.027990,7.094580,0.000000,21.448455,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,9.27x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,4,194.19,1800.03,7.027990,7.094580,0.000000,9.617109,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,9.27x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,4,194.19,1800.03,7.027990,7.094580,0.000000,9.756308,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,yes,9.27x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,4,194.19,1800.10,7.027990,7.094580,0.000000,9.670840,32,rga0.0,0,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,9.27x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,4,194.19,1800.05,7.027990,7.094580,0.000000,14.693703,,rga0.0,,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,9.27x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,4,194.19,1800.06,7.027990,7.094580,0.000000,1.965365,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,9.27x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,4,194.19,1800.05,7.027990,7.094580,0.000000,13.531615,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,9.27x,,TIME_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",0,5,174.89,1800.06,4.770548,4.809775,0.000000,-0.065320,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,10.29x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,1800.23,4.770548,4.809775,0.000000,-0.068021,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,10.29x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,1800.04,4.770548,4.809775,0.000000,-0.065586,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,yes,10.29x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,1800.13,4.770548,4.809775,0.000000,-0.068021,32,rga0.0,0,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,10.29x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,1800.03,4.770548,4.809775,0.000000,-0.069736,,rga0.0,,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,10.29x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,1800.05,4.770548,4.809775,0.000000,-0.065844,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,10.29x,,TIME_LIMIT
cnn1,occ,"1,1,5",0,5,174.89,1800.03,4.770548,4.809775,0.000000,-0.064817,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,10.29x,,TIME_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",1,3,87.73,1758.15,5.399273,5.451446,-0.383965,-0.380165,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,20.04x,,OPTIMAL
cnn1,occ,"1,1,5",1,3,87.73,1800.05,5.399273,5.451446,-0.390033,-0.369592,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,20.52x,,TIME_LIMIT
cnn1,occ,"1,1,5",1,3,87.73,1800.29,5.399273,5.451446,-0.386902,-0.369592,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,20.52x,,TIME_LIMIT
cnn1,occ,"1,1,5",1,3,87.73,1800.10,5.399273,5.451446,-0.385559,-0.369592,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,yes,20.52x,,TIME_LIMIT
cnn1,occ,"1,1,5",1,3,87.73,1800.27,5.399273,5.451446,-0.386902,-0.369592,32,rga0.0,0,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,20.52x,,TIME_LIMIT
cnn1,occ,"1,1,5",1,3,87.73,1800.10,5.399273,5.451446,-0.396166,-0.369592,,rga0.0,,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,20.52x,,TIME_LIMIT
cnn1,occ,"1,1,5",1,3,87.73,1800.24,5.399273,5.451446,-0.387361,-0.374496,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,20.52x,,TIME_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",1,4,61.83,753.17,7.804042,7.804094,0.009346,0.009403,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,12.18x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,791.47,7.804042,7.804094,0.009346,0.009403,,rga0.0,,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,12.80x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,792.84,7.804042,7.804094,0.009346,0.009403,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,12.82x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,801.77,7.804042,7.804094,0.009346,0.009403,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,yes,12.97x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,815.30,7.804042,7.804094,0.009346,0.009403,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,13.19x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,827.92,7.804042,7.804094,0.009346,0.009403,32,rga0.0,0,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,13.39x,,OPTIMAL
cnn1,occ,"1,1,5",1,4,61.83,1575.86,7.804042,7.804094,0.009346,0.009370,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,25.49x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",1,5,101.80,421.38,7.196610,7.197024,-0.023654,-0.023654,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,4.14x,,OPTIMAL
cnn1,occ,"1,1,5",1,5,101.80,424.09,7.196610,7.197024,-0.023752,-0.023652,,rga0.0,,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,4.17x,,OPTIMAL
cnn1,occ,"1,1,5",1,5,101.80,458.74,7.196610,7.197024,-0.023752,-0.023652,32,rga0.0,0,yes,no+zono+boundN2xpComp+stdWarmstart,yes,no,4.51x,,OPTIMAL
cnn1,occ,"1,1,5",1,5,101.80,468.26,7.196610,7.197024,-0.023752,-0.023652,,rga0.0,,yes,no+zono+boundN2xpOut+boundN2xpComp+stdWarmstart,no,no,4.60x,,OPTIMAL
cnn1,occ,"1,1,5",1,5,101.80,476.51,7.196610,7.197024,-0.023752,-0.023652,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,4.68x,,OPTIMAL
cnn1,occ,"1,1,5",1,5,101.80,480.85,7.196610,7.197024,-0.023752,-0.023652,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,yes,4.72x,,OPTIMAL
cnn1,occ,"1,1,5",1,5,101.80,733.41,7.196610,7.197024,-0.023654,-0.023654,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,7.20x,,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"3,3,5",0,3,191.10,1105.55,15.967411,16.021949,-0.283637,-0.283485,32,rga0.0,0,yes,no+zono+stdWarmstart,yes,no,5.79x,OPTIMAL,OPTIMAL
